SampleID,ModulationType,DataRate,EndToEndDelay,PacketDeliveryRate,TaskSatisfactionRate,TransmissionPower,CurrentChannelPowerGain,CrossChannelPowerGain,QoSScore
1,QPSK,6,40,0.46793608468651504,0.0,23.621749207671165,0.04767479728841461,0.007546698224781758,0.0
2,64-QAM,12,5,0.29668363644320705,0.0,14.726645762154675,0.04806246659331211,0.00537537498733232,0.0
3,16-QAM,12,35,0.41411989787743886,0.0,12.052711128952785,0.03714298474156153,0.00775048517458652,0.0
4,QPSK,24,71,0.15435243618609207,0.0,28.95132257170179,0.027694028149911353,0.007919186383044827,0.0
5,256-QAM,18,60,0.9244519778736242,1.0,26.142172828689667,0.08033001132855835,0.009002248979062284,0.24444915283768176
6,QPSK,18,42,0.5206510490725267,0.0,17.498294671724246,0.004274863863712678,0.003172683186346592,0.0
7,16-QAM,18,4,0.1994710423862578,0.0,14.15468581063659,0.030267237497854673,0.009891869080929608,0.0
8,64-QAM,12,90,0.8370054269631793,1.0,18.13717522841278,0.08086439821934675,0.0006435207200480278,0.0
9,64-QAM,6,52,0.8285075135951099,1.0,14.200762382848994,0.05171743144424471,0.003450634283205503,0.22892830710805476
10,16-QAM,24,34,0.5093101009073963,0.0,22.302792497522407,0.05464039711173715,0.005507264201846988,0.0
11,QPSK,12,62,0.8611120451190312,1.0,11.793567397843072,0.033200748780856465,0.0035687190261957705,0.19375058375495002
12,16-QAM,6,66,0.9252117746581021,1.0,18.06225064597766,0.08871193230235902,0.0013479543350748639,0.21159069249464713
13,16-QAM,24,89,0.6125134472261163,0.0,10.010700580038039,0.016029087149604732,0.0013894969118211284,0.0
14,256-QAM,24,56,0.6413022397359073,0.0,24.70508701053692,0.05763836608328403,0.00225755295745291,0.0
15,QPSK,12,8,0.14252561109234352,0.0,24.861838721351397,0.09292676360844292,0.004857000390740992,0.0
16,64-QAM,18,53,0.9141376929271443,1.0,16.72182723167742,0.04862093411326205,0.00021946419848764228,0.2768916136350207
17,16-QAM,18,10,0.9246703618684032,1.0,25.579522325106634,0.09676338355005462,0.008944298909973902,0.5223634206121964
18,QPSK,6,48,0.9098162658147447,1.0,17.43402854535902,0.09358211240272708,0.006833061866735409,0.3019684994675488
19,256-QAM,6,9,0.09125995036247114,0.0,29.847576581413563,0.045701453951733896,0.0007700210120767136,0.0
20,16-QAM,18,53,0.1597486395665857,0.0,13.637150362752513,0.06312056230160387,0.001905881657228437,0.0
21,QPSK,18,33,0.09771056675059231,0.0,16.11584452509414,0.031013940459411835,0.006896950478847422,0.0
22,16-QAM,24,3,0.8087471313475467,1.0,25.368699875736212,0.009047721514823404,0.006627014723985407,0.48880029042555
23,64-QAM,12,11,0.050181337940824355,0.0,27.081870768211516,0.06834186345829486,0.001990027498098097,0.0
24,256-QAM,18,81,0.7403057927351958,0.0,18.83903952576331,0.07943570921638836,0.0005813194791154728,0.0
25,QPSK,12,16,0.21060430742853675,0.0,16.618666581052832,0.09472264959225261,0.0023675464742710394,0.0
26,16-QAM,18,80,0.7575542063579481,0.0,16.949714430716377,0.0564616653493675,0.007830643473955698,0.0
27,256-QAM,6,43,0.0030991559550119785,0.0,22.996339645847108,0.0926852284049456,0.0049678509039058185,0.0
28,256-QAM,12,2,0.5108401878798554,0.0,19.040529682862083,0.08675973292067737,0.006732148159277573,0.0
29,16-QAM,24,70,0.6069083144844447,0.0,27.921514117762655,0.009441747165914203,0.009453978672417882,0.0
30,16-QAM,18,53,0.27484935641877295,0.0,27.940141613703247,0.07773832192867974,0.009085471961190616,0.0
31,64-QAM,6,23,0.9938868292716672,1.0,24.77763283807556,0.02439170422140088,0.006639410625658817,0.4934014905170142
32,16-QAM,24,86,0.051645637229394525,0.0,16.333136759123555,0.0876667856362009,0.008572436258142595,0.0
33,64-QAM,6,54,0.044472424631520124,0.0,19.62384677822447,0.009089493340377747,0.007503550982473902,0.0
34,QPSK,12,6,0.09860006103045282,0.0,19.351019570080254,0.01949373597105491,0.0038504268660281265,0.0
35,64-QAM,6,29,0.3054063148010725,0.0,25.684011952150154,0.05416888295597349,0.003113203202594796,0.0
36,16-QAM,12,28,0.3815818948594303,0.0,21.027075382414104,0.04588767179581475,0.00027086398578530255,0.0
37,64-QAM,24,25,0.6131185141344896,0.0,25.595353359554046,0.032435692653250275,0.0017286802443322695,0.0
38,64-QAM,12,12,0.55477240923108,0.0,24.69448144219879,0.006660288567822608,0.005696656289719538,0.0
39,256-QAM,24,50,0.46272555991365405,0.0,20.741807902105016,0.03993296124797969,0.005874007085697478,0.0
40,256-QAM,18,22,0.47382220096534233,0.0,13.178330365290504,0.00262946136331817,0.009961734218434548,0.0
41,16-QAM,6,41,0.6857935505505569,0.0,13.41447626961058,0.08835589399176913,0.0023540740036507683,0.0
42,64-QAM,18,38,0.5604457028017543,0.0,29.84651328067192,0.05695742699866485,0.003516686920993516,0.0
43,16-QAM,24,58,0.24808692904133667,0.0,20.15253251760481,0.03858512037988925,0.0016988058171220554,0.0
44,256-QAM,6,9,0.5641898096120472,0.0,28.36862172452414,0.06613253482908595,0.005799540765431782,0.0
45,256-QAM,18,7,0.01479334789401121,0.0,16.966137692065246,0.08938866545159357,0.006484369049661239,0.0
46,64-QAM,18,38,0.807793868302643,1.0,27.328984644841682,0.05109698343870556,0.005211601737053127,0.2937600565780407
47,16-QAM,12,22,0.9777327775954756,1.0,26.02276268472898,0.08899769901133107,0.002795021222834953,0.48886076377495
48,256-QAM,24,15,0.6045575271105051,0.0,18.402112398164384,0.023298931166760017,0.008188774039678553,0.0
49,64-QAM,6,6,0.8807158801822346,1.0,19.704319264768394,0.05822101062930515,0.005903542294186136,0.5171140917805632
